# postcode distance_miles
HS5 481.367571783 
HS6 478.99289158 
HS7 472.114987796 
HS8 461.489148852 
HS9 452.067332956 
HU1 110.551857852 
HU10 112.117831236 
HU11 115.371903497 
HU12 107.874197121 
HU13 110.246106601 
HU14 111.120070002 
HU15 113.931650778 
HU16 113.857785671 
HU17 118.379343392 
HU18 120.757561869 
HU19 107.167360363 
HU2 111.050832155 
HU20 115.264473814 
HU3 110.739388913 
HU4 110.650118879 
HU5 112.043088421 
HU6 113.410328656 
HU7 113.589808355 
HU8 112.030132512 
HU9 111.048433594 
HX1 137.161924794 
HX2 138.957470131 
HX3 136.751444184 
HX4 135.205740318 
HX5 134.382521398 
HX6 137.379989705 
HX7 141.754059345 
IG1 42.9403934095 
IG10 36.8875017994 
IG11 44.5067315412 
IG2 41.8761873554 
IG3 42.6205290873 
IG4 41.8139454457 
IG5 40.9972491855 
IG6 40.5378095375 
IG7 39.1631868783 
IG8 39.9009542312 
IG9 38.7673411205 
IP1 41.2106947735 
IP10 47.2515231846 
IP11 50.7779367065 
IP12 50.666485458 
IP13 48.0740850162 
IP14 35.9659726335 
IP15 59.8335467884 
IP16 59.3517776798 
IP17 55.9019145697 
IP18 63.8222145694 
IP19 56.5178644945 
IP2 41.2762872086 
IP20 50.5188750762 
IP21 46.2329375831 
IP22 39.1260367533 
IP23 40.7057873832 
IP24 29.3952462851 
IP25 39.4967723399 
IP26 28.2052279336 
IP27 24.2930209789 
IP28 18.429463987 
IP29 20.1362677574 
IP3 43.4989680728 
IP30 27.5862650686 
IP31 28.2273699661 
IP32 23.0220960869 
IP33 22.4704983789 
IP4 42.9345559194 
IP5 45.4750401523 
IP6 39.5037619007 
IP7 33.1949845474 
IP8 38.8156359951 
IP9 42.8251992417 
IV1 407.376131066 
IV10 411.645625011 
IV11 415.93022927 
IV12 406.722399222 
IV13 394.791737798 
IV14 418.961926739 
IV15 417.684794595 
IV16 420.126211511 
IV17 420.988252223 
IV18 419.380051696 
IV19 424.295690743 
IV2 405.505146659 
IV20 420.710510015 
IV21 449.781365176 
IV22 446.458850637 
IV23 438.679981056 
IV24 434.380161529 
IV25 429.392689399 
IV26 450.259425545 
IV27 465.579080528 
IV28 438.957817314 
IV3 407.004003912 
IV30 403.874346745 
IV31 407.413109866 
IV32 399.547121633 
IV36 405.081925177 
IV4 410.358756483 
IV40 422.819050328 
IV41 424.643605952 
IV42 424.809146875 
IV43 419.804031214 
IV44 419.030974529 
IV45 417.165178171 
IV46 421.53930164 
IV47 439.719696941 
IV48 434.898310966 
IV49 426.867660343 
IV5 409.368463685 
IV51 447.582703392 
IV52 426.321043701 
IV53 424.615229422 
IV54 430.874893534 
IV55 454.876874567 
IV56 445.591948244 
IV6 413.730946701 
IV63 402.316873785 
IV7 415.966118809 
IV8 412.074412916 
IV9 411.506976166 
KA1 304.166725418 
KA10 305.689235629 
KA11 308.66629324 
KA12 309.706711734 
KA13 312.477077437 
KA14 316.177885202 
KA15 315.429115718 
KA16 300.539923517 
KA17 299.556126839 
KA18 289.985085201 
KA19 295.969722413 
KA2 305.89259058 
KA20 313.114631161 
KA21 313.955903651 
KA22 315.04856816 
KA23 318.409035829 
KA24 315.741312163 
KA25 317.292166576 
KA26 294.484239298 
KA27 319.442258897 
KA28 323.497619017 
KA29 321.747450561 
KA3 306.658842862 
KA30 324.048934656 
KA4 301.423014351 
KA5 296.845667987 
KA6 295.055923795 
KA7 300.018132963 
KA8 300.806833072 
KA9 301.867553922 
KT1 57.1179235219 
KT10 60.5382280631 
KT11 63.8930974028 
KT12 60.8839876696 
KT13 62.2222023206 
KT14 64.7273797735 
KT15 63.403030842 
KT16 62.5867334717 
KT17 60.7094077703 
KT18 62.4745699597 
KT19 60.3117635963 
